pointID,TAS,PRE,RSDS,VPD,DEPTH,SAND,CLAY,SOC,CEC,PH,DEM,Aspect,Slope
11801,254,1966,166,11385,200,3786,3949,1341,916,444,221.929,203.037,6.00756
11802,254,1989,166,11330,200,3786,3949,1325,916,444,231.294,182.152,6.02442
11803,254,2011,166,11269,200,3837,3881,1387,1002,445,238.384,172.516,7.96765
11804,253,2031,166,11205,200,3794,3983,1489,936,441,261.333,186.361,11.54
11805,255,2047,166,11222,200,3796,4024,1489,1013,438,229.031,157.982,7.67336
11806,256,2059,166,11201,200,3897,3979,1433,1042,442,220.042,161.161,4.89746
11807,256,2070,166,11180,200,3905,3908,1310,982,441,213.234,160.279,4.11502
11808,256,2068,166,11198,200,3846,4070,1256,968,443,202.448,168.311,4.23806
11809,256,2063,166,11205,200,3782,4023,1286,977,445,202.448,168.311,4.23806
11810,256,2052,166,11225,200,3795,4011,1285,931,444,210.681,179.848,3.86421
11811,256,2037,166,11270,200,3795,4011,1265,931,444,217.315,176.062,4.06002
11812,256,2018,166,11328,200,3895,4037,1284,915,441,205.497,147.333,4.93887
11813,257,1996,167,11392,200,3915,4098,1312,957,438,195.398,148.075,4.00888
11814,257,1974,167,11455,200,3803,3961,1326,920,438,191.794,161.837,3.66554
11815,257,1955,167,11496,200,3934,3803,1326,873,438,186.733,184.381,3.65115
11816,256,1939,167,11534,200,3804,3959,1288,945,438,198.598,176.664,3.62595
11817,256,1930,167,11561,200,3675,4014,1268,1031,442,202.614,175.505,4.07514
11818,256,1926,167,11583,200,3847,4010,1307,1074,448,203.504,155.744,3.89847
11819,255,1933,167,11561,200,3866,3989,1290,958,448,213.803,184.083,3.74811
11820,256,1942,167,11567,200,3921,3972,1290,845,446,217.516,171.124,3.57687
11821,255,1952,167,11554,200,3921,3972,1311,845,446,216.033,136.997,3.47009
11822,256,1961,167,11549,200,4042,3850,1327,850,446,216.033,136.997,3.47009
11823,256,1970,167,11555,200,4078,3930,1388,882,443,214.505,173.017,4.07578
11824,256,1979,167,11546,200,4097,3927,1388,881,442,205.286,160.815,4.11544
11825,255,1989,167,11493,200,3928,3979,1474,901,448,204.494,176.684,4.78969
11826,255,1998,167,11481,200,3919,3900,1398,955,448,233.962,160.454,9.86017
