pointID,X,Y,Buffer_type,Area2000,Area2020,H2000,H2020,PD2000,PD2020,NPP2000,NPP2020,NTL2000,NTL2020,Windowflag,ForestChange,Plantations
14201,-5811444.271,-523465.7293,1,100,100,28.26,27.57,1,1,1314.7,1333.8,0,0,0,0,0
14202,-5810444.271,-523465.7293,1,100,100,26.78,26.14,1,1,1286.6,1330.5,0,0,0,0,0
14203,-5809444.271,-523465.7293,1,100,100,27.13,26.05,1,1,1306.1,1342.7,0,0,0,0,0
14204,-5808444.271,-523465.7293,1,100,100,27.65,26.17,1,1,1297.9,1369,0,0,0,0,0
14205,-5807444.271,-523465.7293,1,100,100,28.23,27.23,1,1,1290,1376.8,0,0,0,0,0
14206,-5806444.271,-523465.7293,1,100,100,27.46,26.71,1,1,1316.9,1365.5,0,0,0,0,0
14207,-5805444.271,-523465.7293,1,100,100,26.52,25.96,1,1,1299.6,1345.7,0,0,0,0,0
14208,-5804444.271,-523465.7293,1,100,100,27.75,26.34,1,1,1323.1,1411,0,0,0,0,0
14209,-5803444.271,-523465.7293,1,100,100,26.87,25.71,1,1,1261.5,1350.1,0,0,0,0,0
14210,-5802444.271,-523465.7293,1,100,100,26.17,25.12,1,1,1287.2,1340.3,0,0,0,0,0
14211,-5801444.271,-523465.7293,1,100,100,26.22,24.91,1,1,1236.9,1306.1,0,0,0,-1,0
14212,-5800444.271,-523465.7293,1,100,100,25.92,24.47,1,1,1281,1383,0,0,0,0,0
14213,-5799444.271,-523465.7293,1,100,100,25.07,24.03,1,1,1224,1329.9,0,0,0,0,0
14214,-5798444.271,-523465.7293,1,100,100,27.34,26.1,1,1,1279.9,1251.2,0,0,0,0,0
14215,-5797444.271,-523465.7293,1,100,100,27.45,26.2,1,1,1292.3,1261.4,0,0,0,0,0
14216,-5796444.271,-523465.7293,1,100,100,27.5,26.17,1,1,1233.9,1397.2,0,0,0,0,0
14217,-5795444.271,-523465.7293,1,100,100,28.33,27.57,1,1,1189.4,1380.2,0,0,0,0,0
14218,-5794444.271,-523465.7293,1,100,100,27.7,26.74,1,1,1276.5,1334.6,0,0,0,0,0
14219,-5793444.271,-523465.7293,1,100,100,28.55,27.64,1,1,1315.2,1336.5,0,0,0,0,0
14220,-5792444.271,-523465.7293,1,100,100,27.39,26.99,1,1,1292.5,1336.3,0,0,0,-2,0
14221,-5791444.271,-523465.7293,1,100,100,26.18,25.37,1,1,1255.6,1374.5,0,0,0,-9,0
