pointID,X,Y,Buffer_type,Area2000_road,Area2000_ref,Area2000_AC,Area2000_RC,Area2020_road,Area2020_ref,Area2020_AC,Area2020_RC,H2000_road,H2000_ref,H2000_AC,H2000_RC,H2020_road,H2020_ref,H2020_AC,H2020_RC,PD2000_road,PD2000_ref,PD2000_AC,PD2000_RC,PD2020_road,PD2020_ref,PD2020_AC,PD2020_RC,NPP2000_road,NPP2000_ref,NPP2000_AC,NPP2000_RC,NPP2020_road,NPP2020_ref,NPP2020_AC,NPP2020_RC,Area_AC_trend,Area_RC_trend,H_AC_trend,H_RC_trend,PD_AC_trend,PD_RC_trend,NPP_AC_trend,NPP_RC_trend,CEI_Diff,Nearest_Ref_Distance,Ref_Points_Used
11912.0000,-5700444.2710,-511465.7293,2.0000,100.0000,99.9790,0.0210,0.0105,100.0000,99.9839,0.0161,0.0080,28.2900,28.1619,0.1281,0.2270,28.1200,27.0827,1.0373,1.8791,1.0000,1.0001,-0.0001,-0.0027,1.0000,1.0043,-0.0043,-0.2122,1245.5000,1261.5014,-16.0014,-0.6383,1370.5000,1344.7581,25.7419,0.9480,-0.0049,-13.2353,0.9092,78.0097,-0.0042,-97.4524,41.7434,100.0000,-0.0006,1000.0000,1106
11913.0000,-5699444.2710,-511465.7293,2.0000,100.0000,99.9384,0.0616,0.0308,100.0000,99.9284,0.0716,0.0358,29.1500,27.8463,1.3037,2.2874,27.9100,26.9251,0.9849,1.7961,1.0000,1.0044,-0.0044,-0.2216,1.0000,1.0100,-0.0100,-0.4990,1204.3000,1262.3274,-58.0274,-2.3525,1339.0000,1336.0314,2.9686,0.1110,0.0101,7.5665,-0.3189,-13.9323,-0.0056,-38.6214,60.9960,100.0000,-0.0026,1414.2136,1096
11914.0000,-5698444.2710,-511465.7293,3.0000,78.0000,99.8541,-21.8541,-12.2877,100.0000,99.9124,0.0876,0.0438,29.5500,27.5994,1.9506,3.4132,28.4800,27.0246,1.4554,2.6221,1.0000,1.0000,0.0000,0.0000,1.0000,1.0523,-0.0523,-2.5478,1299.3000,1262.0987,37.2013,1.4524,1322.5000,1338.9320,-16.4320,-0.6174,21.9417,100.0000,-0.4952,-14.5400,-0.0523,-100.0000,-53.6332,-100.0000,0.0043,2236.0680,1085
11915.0000,-5697444.2710,-511465.7293,3.0000,100.0000,99.8547,0.1453,0.0727,78.0000,99.8033,-21.8033,-12.2626,24.8200,27.5661,-2.7461,-5.2420,24.5400,26.9729,-2.4329,-4.7229,1.0000,1.0008,-0.0008,-0.0404,1.0000,1.1034,-0.1034,-4.9149,1300.5000,1270.7076,29.7924,1.1587,1325.2000,1343.0115,-17.8115,-0.6675,-21.9486,-100.0000,0.3132,6.0473,-0.1026,-98.4491,-47.6039,-100.0000,0.0405,2828.4271,1074
11916.0000,-5696444.2710,-511465.7293,4.0000,100.0000,99.8508,0.1492,0.0746,100.0000,99.9114,0.0886,0.0443,28.7000,27.5293,1.1707,2.0820,28.5900,26.9559,1.6341,2.9420,1.0000,1.0006,-0.0006,-0.0315,1.0000,1.0801,-0.0801,-3.8497,1314.7000,1264.2339,50.4661,1.9569,1320.5000,1339.0546,-18.5546,-0.6977,-0.0605,-25.4548,0.4634,16.5222,-0.0794,-98.4372,-69.0206,-100.0000,0.0048,3605.5513,1064
11917.0000,-5695444.2710,-511465.7293,4.0000,100.0000,99.9588,0.0412,0.0206,100.0000,99.9475,0.0525,0.0262,27.1200,27.7652,-0.6452,-1.1755,27.4700,27.0142,0.4558,0.8366,1.0000,1.0082,-0.0082,-0.4096,1.0000,1.0311,-0.0311,-1.5300,1274.6000,1263.2202,11.3798,0.4484,1358.0000,1336.5734,21.4266,0.7952,0.0113,12.0771,1.1010,100.0000,-0.0228,-58.1354,10.0468,30.6245,0.0009,4242.6407,1052
11918.0000,-5694444.2710,-511465.7293,5.0000,100.0000,99.9128,0.0872,0.0436,100.0000,99.8529,0.1471,0.0736,27.7000,27.4646,0.2354,0.4267,27.6100,26.6828,0.9272,1.7077,1.0000,1.0017,-0.0017,-0.0826,1.0000,1.0246,-0.0246,-1.2150,1269.7000,1265.3687,4.3313,0.1709,1333.9000,1331.8782,2.0218,0.0758,0.0599,25.5870,0.6918,59.5043,-0.0229,-87.4029,-2.3094,-36.3513,-0.0009,5000.0000,1039
11919.0000,-5693444.2710,-511465.7293,5.0000,100.0000,99.9337,0.0663,0.0332,100.0000,99.8863,0.1137,0.0569,26.5400,27.3391,-0.7991,-1.4832,25.8100,26.5876,-0.7776,-1.4840,1.0000,1.0006,-0.0006,-0.0322,1.0000,1.0232,-0.0232,-1.1478,1188.0000,1264.7070,-76.7070,-3.1274,1345.3000,1333.5354,11.7646,0.4392,0.0474,26.3250,0.0215,1.3654,-0.0226,-94.6069,88.4716,100.0000,-0.0023,5656.8542,1026
11920.0000,-5692444.2710,-511465.7293,6.0000,100.0000,99.9400,0.0600,0.0300,100.0000,99.8914,0.1086,0.0544,26.4800,27.3360,-0.8560,-1.5906,25.8500,26.5788,-0.7288,-1.3900,1.0000,1.0006,-0.0006,-0.0313,1.0000,1.0239,-0.0239,-1.1802,1256.1000,1264.3628,-8.2628,-0.3278,1320.5000,1332.6136,-12.1136,-0.4566,0.0486,28.8348,0.1273,8.0305,-0.0233,-94.8831,-3.8508,-18.8985,-0.0020,6403.1242,1013
11921.0000,-5691444.2710,-511465.7293,6.0000,100.0000,99.9430,0.0570,0.0285,100.0000,99.8535,0.1465,0.0733,26.5100,27.4657,-0.9557,-1.7707,25.8500,26.7099,-0.8599,-1.6361,1.0000,1.0010,-0.0010,-0.0477,1.0000,1.0145,-0.0145,-0.7212,1292.2000,1267.0683,25.1317,0.9820,1321.5000,1333.1888,-11.6888,-0.4403,0.0895,44.0030,0.0958,5.2762,-0.0136,-87.6650,-36.8205,-100.0000,-0.0008,7071.0678,1000
11922.0000,-5690444.2710,-511465.7293,6.0000,100.0000,99.9096,0.0904,0.0452,100.0000,99.8864,0.1136,0.0568,28.6800,27.2625,1.4175,2.5339,28.3800,26.5308,1.8492,3.3677,1.0000,1.0007,-0.0007,-0.0330,1.0000,1.0259,-0.0259,-1.2772,1283.8000,1263.8841,19.9159,0.7817,1173.6000,1332.4894,-158.8894,-6.3401,0.0232,11.3981,0.4317,13.2156,-0.0252,-95.0193,-178.8053,-100.0000,-0.0030,7071.0678,985
11923.0000,-5689444.2710,-511465.7293,6.0000,100.0000,99.9447,0.0553,0.0277,100.0000,99.9014,0.0986,0.0493,28.4500,27.2940,1.1560,2.0737,27.3100,26.5659,0.7441,1.3811,1.0000,1.0006,-0.0006,-0.0304,1.0000,1.0280,-0.0280,-1.3821,1240.4000,1263.6480,-23.2480,-0.9284,1306.5000,1330.8993,-24.3993,-0.9251,0.0433,28.1318,-0.4119,-21.6761,-0.0274,-95.7581,-1.1513,-2.4163,-0.0016,6403.1242,971
11924.0000,-5688444.2710,-511465.7293,5.0000,100.0000,99.9452,0.0548,0.0274,100.0000,99.9075,0.0925,0.0463,28.5500,27.2740,1.2760,2.2858,27.4100,26.5556,0.8544,1.5831,1.0000,1.0006,-0.0006,-0.0303,1.0000,1.0297,-0.0297,-1.4632,1285.8000,1264.0453,21.7547,0.8532,1380.5000,1330.6378,49.8622,1.8392,0.0377,25.5786,-0.4216,-19.7925,-0.0291,-96.0013,28.1075,39.2469,-0.0017,5656.8542,956
11925.0000,-5687444.2710,-511465.7293,5.0000,100.0000,99.8954,0.1046,0.0523,100.0000,99.8926,0.1074,0.0537,27.0800,27.1305,-0.0505,-0.0931,26.0600,26.4232,-0.3632,-0.6919,1.0000,1.0014,-0.0014,-0.0710,1.0000,1.0346,-0.0346,-1.7010,1206.7000,1261.9430,-55.2430,-2.2378,1341.9000,1331.7888,10.1112,0.3782,0.0028,1.3169,-0.3127,-75.5962,-0.0332,-92.1073,65.3543,100.0000,-0.0039,5000.0000,941
11926.0000,-5686444.2710,-511465.7293,4.0000,100.0000,99.9308,0.0692,0.0346,100.0000,99.8780,0.1220,0.0610,27.0400,27.2496,-0.2096,-0.3860,26.1700,26.5373,-0.3673,-0.6969,1.0000,1.0016,-0.0016,-0.0822,1.0000,1.0350,-0.0350,-1.7195,1285.1000,1260.4435,24.6565,0.9686,1338.3000,1330.4029,7.8971,0.2959,0.0528,27.6220,-0.1578,-27.3482,-0.0333,-91.0128,-16.7594,-51.4825,-0.0009,4242.6407,926
11927.0000,-5685444.2710,-511465.7293,4.0000,100.0000,99.8987,0.1013,0.0507,100.0000,99.8970,0.1030,0.0515,27.4900,27.1242,0.3658,0.6698,26.5700,26.4376,0.1324,0.2498,1.0000,1.0014,-0.0014,-0.0678,1.0000,1.0406,-0.0406,-1.9889,1326.2000,1261.4698,64.7302,2.5015,1336.3000,1331.0376,5.2624,0.1973,0.0017,0.8102,-0.2334,-46.8524,-0.0392,-93.5250,-59.4678,-84.9631,-0.0038,3605.5513,910
11928.0000,-5684444.2710,-511465.7293,3.0000,100.0000,99.8885,0.1115,0.0558,100.0000,99.8792,0.1208,0.0604,26.1300,27.0172,-0.8872,-1.6694,25.7200,26.3508,-0.6308,-1.2114,1.0000,1.0025,-0.0025,-0.1269,1.0000,1.0664,-0.0664,-3.2135,1267.9000,1263.0822,4.8178,0.1904,1349.8000,1331.4574,18.3426,0.6841,0.0093,4.0167,0.2564,16.8922,-0.0639,-92.6289,13.5248,58.3963,-0.0069,2828.4271,894
11929.0000,-5683444.2710,-511465.7293,3.0000,100.0000,99.8883,0.1117,0.0559,100.0000,99.8653,0.1347,0.0674,27.3600,26.9698,0.3902,0.7181,26.6300,26.3157,0.3143,0.5935,1.0000,1.0027,-0.0027,-0.1348,1.0000,1.0789,-0.0789,-3.7969,1261.1000,1263.9861,-2.8861,-0.1143,1351.8000,1331.1721,20.6279,0.7688,0.0230,9.3488,-0.0759,-10.7760,-0.0762,-93.3865,23.5140,100.0000,-0.0084,2236.0680,878
11929.0000,-5683444.2710,-511465.7293,3.0000,100.0000,99.8883,0.1117,0.0559,100.0000,99.8653,0.1347,0.0674,27.3600,26.9698,0.3902,0.7181,26.6300,26.3157,0.3143,0.5935,1.0000,1.0027,-0.0027,-0.1348,1.0000,1.0789,-0.0789,-3.7969,1261.1000,1263.9861,-2.8861,-0.1143,1351.8000,1331.1721,20.6279,0.7688,0.0230,9.3488,-0.0759,-10.7760,-0.0762,-93.3865,23.5140,100.0000,-0.0084,2236.0680,878
